id,precinct,office,candidate,party,votes
5388,Boylston 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5389,Boylston 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5390,Boylston 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5391,Boylston 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5392,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5393,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5394,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5395,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5396,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5397,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5398,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5399,Constantia 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5400,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5401,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5402,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5403,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5404,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5405,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5406,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5407,Constantia 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5408,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5409,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5410,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5411,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5412,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5413,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5414,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5415,Constantia 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5416,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5417,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,5
5418,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5419,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,3
5420,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5421,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5422,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,2
5423,Constantia 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,3
5424,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5425,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5426,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5427,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5428,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5429,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5430,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,1
5431,Granby 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5432,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5433,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5434,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5435,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5436,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5437,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5438,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5439,Granby 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5440,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5441,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5442,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5443,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5444,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5445,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,2
5446,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5447,Granby 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5448,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5449,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,3
5450,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5451,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5452,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5453,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,2
5454,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5455,Granby 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5456,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5457,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5458,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5459,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5460,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5461,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5462,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5463,Granby 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5464,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5465,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5466,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5467,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5468,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5469,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5470,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5471,Hastings 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5472,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5473,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5474,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5475,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5476,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5477,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5478,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5479,Hastings 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5480,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5481,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5482,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5483,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5484,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5485,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5486,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5487,Hastings 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5488,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5489,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5490,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5491,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5492,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,2
5493,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5494,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5495,Hastings 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5496,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5497,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5498,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5499,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5500,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5501,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5502,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5503,Hastings 5,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5504,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5505,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5506,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5507,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5508,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5509,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5510,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5511,Hastings 6,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5512,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5513,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,3
5514,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5515,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5516,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,2
5517,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5518,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5519,Hastings 7,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5520,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5521,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,4
5522,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5523,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,2
5524,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5525,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5526,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5527,Hastings 8,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5528,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5529,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5530,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5531,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5532,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5533,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5534,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5535,Mexico 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5536,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5537,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5538,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5539,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5540,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5541,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5542,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5543,Mexico 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5544,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5545,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,4
5546,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5547,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,3
5548,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5549,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5550,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5551,Mexico 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5552,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5553,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5554,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5555,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5556,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5557,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5558,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5559,Mexico 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5560,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5561,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,4
5562,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,3
5563,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,2
5564,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5565,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5566,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5567,New Haven 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5568,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5569,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5570,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5571,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5572,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5573,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5574,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5575,New Haven 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5576,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5577,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,3
5578,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,3
5579,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5580,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5581,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5582,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5583,New Haven 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5584,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5585,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5586,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5587,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5588,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5589,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5590,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5591,Orwell 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,1
5592,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5593,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5594,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5595,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5596,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5597,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5598,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5599,Palermo 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5600,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5601,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5602,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5603,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5604,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5605,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5606,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5607,Palermo 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5608,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5609,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5610,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5611,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5612,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5613,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5614,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5615,Palermo 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5616,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5617,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5618,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5619,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,1
5620,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5621,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5622,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5623,Palermo 4,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5624,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5625,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5626,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5627,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5628,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5629,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5630,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5631,Parish 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5632,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5633,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,3
5634,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,2
5635,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5636,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5637,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,1
5638,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,1
5639,Parish 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,2
5640,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5641,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5642,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5643,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5644,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5645,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5646,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5647,Redfield 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5648,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5649,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,0
5650,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,0
5651,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5652,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,0
5653,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5654,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5655,Richland 1,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5656,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5657,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,1
5658,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
5659,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Danielle DelConte,,0
5660,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),"Paul J. Zaryski, Sr.",,1
5661,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Sherry M. Zaryski,,0
5662,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Write-ins,,0
5663,Richland 2,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Voids/Blanks,,0
5664,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),,,
5665,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Ballots,,2
5666,Richland 3,Delegate to the 5th Judicial District Convention 120th Assembly District (IND),Kimberly Steele,,1
