Contest,Candidate Issue,Party,District Name,Total Votes,% of Total Votes
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Dawn  HEIN,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Dawn  HEIN,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/6 ",10,41.67
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Paul T. SCHULTZ,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/6 ",4,16.67
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Zachary  OSTROFF,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/6 ",2,8.33
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Mark  OSTROFF,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D6)  - Independence,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/7 ",2,11.11
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Francis P. BAKER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/7 ",2,11.11
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Alex F. DOMARADZKI,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/7 ",8,44.44
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Jamie  SAMANKA,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/7 ",6,33.33
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Sandra  DAMASIEWICZ,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D7)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/8 ",1,7.69
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Scott  BATH,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/8 ",2,15.38
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Paul  GORMAN,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/8 ",6,46.15
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Christopher M. PAINTER,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/8 ",4,30.77
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Meghan C. ORTT,INP,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/1 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/2 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/3 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/4 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/7 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D8)  - Independence,Write-in,,"City of North Tonawanda 3/1, 3/2, 3/3, 3/4, 3/5, 3/7, 3/8 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/9 ",5,31.25
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Allene M. DAN,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/9 ",4,25.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Gabriele T. GULLO,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/9 ",7,43.75
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,John  SNOPKOWSKI,INP,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/10 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/11 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D9)  - Independence,Write-in,,"City of North Tonawanda 3/6, 3/9, 3/10, 3/11, 3/12 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D10)  - Independence,Kyle C. PAINTER,INP,"City of North Tonawanda 3/6 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D10)  - Independence,Kyle C. PAINTER,INP,"City of North Tonawanda 3/9 ",0,0.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D10)  - Independence,Kyle C. PAINTER,INP,"City of North Tonawanda 3/10 ",4,25.00
MEMBER OF COUNTY COMMITTEE (North Tonawanda W3D10)  - Independence,Kyle C. PAINTER,INP,"City of North Tonawanda 3/11 ",0,0.00
